Date,Amount,Category
2021-08-03,139.39,Transport
2021-08-04,121.99,Transport
2021-08-05,103.78,Entertainment
2021-08-06,26.23,Entertainment
2021-08-07,149.04,Transport
2021-08-08,85.26,Dining Out
2021-08-09,105.67,Transport
2021-08-10,142.24,Utilities
2021-08-11,66.04,Subscriptions
2021-08-12,149.94,Utilities
2021-08-13,36.28,Dining Out
2021-08-14,133.11,Subscriptions
2021-08-15,27.98,Groceries
2021-08-16,94.39,Utilities
2021-08-17,84.71,Utilities
2021-08-18,10.98,Dining Out
2021-08-19,179.64,Subscriptions
2021-08-20,109.89,Subscriptions
2021-08-21,43.45,Utilities
2021-08-22,82.96,Dining Out
2021-08-23,79.78,Utilities
2021-08-24,162.65,Healthcare
2021-08-25,25.15,Groceries
2021-08-26,176.02,Entertainment
2021-08-27,20.14,Entertainment
2021-08-28,168.1,Healthcare
2021-08-29,139.07,Utilities
2021-08-30,152.39,Subscriptions
2021-08-31,152.45,Dining Out
2021-09-01,53.31,Dining Out
2021-09-02,28.43,Groceries
2021-09-03,197.58,Healthcare
2021-09-04,55.51,Utilities
2021-09-05,130.68,Entertainment
2021-09-06,131.25,Groceries
2021-09-07,85.19,Utilities
2021-09-08,97.97,Groceries
2021-09-09,147.9,Subscriptions
2021-09-10,112.72,Subscriptions
2021-09-11,90.22,Healthcare
2021-09-12,189.14,Subscriptions
2021-09-13,128.56,Groceries
2021-09-14,137.73,Healthcare
2021-09-15,53.68,Transport
2021-09-16,76.85,Entertainment
2021-09-17,25.31,Healthcare
2021-09-18,120.2,Groceries
2021-09-19,5.79,Utilities
2021-09-20,48.42,Entertainment
2021-09-21,14.44,Transport
2021-09-22,15.47,Transport
2021-09-23,29.91,Groceries
2021-09-24,124.93,Entertainment
2021-09-25,183.58,Subscriptions
2021-09-26,58.25,Transport
2021-09-27,134.23,Utilities
2021-09-28,28.87,Transport
2021-09-29,140.18,Groceries
2021-09-30,60.04,Entertainment
2021-10-01,184.92,Healthcare
2021-10-02,121.21,Entertainment
2021-10-03,61.41,Entertainment
2021-10-04,162.03,Entertainment
2021-10-05,53.2,Utilities
2021-10-06,9.97,Entertainment
2021-10-07,113.53,Dining Out
2021-10-08,104.36,Subscriptions
2021-10-09,118.13,Healthcare
2021-10-10,142.47,Transport
2021-10-11,175.51,Entertainment
2021-10-12,62.13,Subscriptions
2021-10-13,152.38,Dining Out
2021-10-14,143.18,Utilities
2021-10-15,185.55,Utilities
2021-10-16,14.88,Transport
2021-10-17,154.27,Groceries
2021-10-18,135.17,Utilities
2021-10-19,58.17,Dining Out
2021-10-20,125.1,Transport
2021-10-21,24.37,Groceries
2021-10-22,39.52,Dining Out
2021-10-23,80.8,Utilities
2021-10-24,49.8,Utilities
2021-10-25,23.89,Dining Out
2021-10-26,69.84,Utilities
2021-10-27,25.91,Utilities
2021-10-28,120.52,Subscriptions
2021-10-29,107.16,Utilities
2021-10-30,137.5,Subscriptions
2021-10-31,184.11,Groceries
2021-11-01,42.55,Utilities
2021-11-02,82.52,Entertainment
2021-11-03,182.27,Utilities
2021-11-04,40.62,Utilities
2021-11-05,5.77,Groceries
2021-11-06,138.92,Transport
2021-11-07,165.43,Utilities
2021-11-08,199.0,Transport
2021-11-09,142.16,Subscriptions
2021-11-10,48.78,Healthcare
2021-11-11,188.79,Utilities
2021-11-12,14.76,Utilities
2021-11-13,6.27,Subscriptions
2021-11-14,58.55,Transport
2021-11-15,185.43,Dining Out
2021-11-16,131.38,Utilities
2021-11-17,46.82,Groceries
2021-11-18,13.3,Healthcare
2021-11-19,85.52,Transport
2021-11-20,193.53,Utilities
2021-11-21,35.87,Subscriptions
2021-11-22,70.9,Groceries
2021-11-23,140.82,Dining Out
2021-11-24,62.54,Dining Out
2021-11-25,81.96,Healthcare
2021-11-26,6.95,Entertainment
2021-11-27,185.57,Dining Out
2021-11-28,76.81,Groceries
2021-11-29,65.59,Groceries
2021-11-30,53.72,Dining Out
2021-12-01,25.07,Subscriptions
2021-12-02,114.28,Groceries
2021-12-03,157.62,Transport
2021-12-04,169.85,Dining Out
2021-12-05,139.76,Transport
2021-12-06,69.29,Dining Out
2021-12-07,74.59,Dining Out
2021-12-08,191.03,Healthcare
2021-12-09,136.68,Entertainment
2021-12-10,77.04,Healthcare
2021-12-11,44.44,Dining Out
2021-12-12,74.59,Subscriptions
2021-12-13,65.79,Entertainment
2021-12-14,36.61,Transport
2021-12-15,177.09,Dining Out
2021-12-16,6.98,Groceries
2021-12-17,28.61,Dining Out
2021-12-18,143.39,Transport
2021-12-19,58.69,Entertainment
2021-12-20,49.96,Groceries
2021-12-21,127.31,Transport
2021-12-22,117.42,Transport
2021-12-23,28.62,Entertainment
2021-12-24,112.96,Dining Out
2021-12-25,183.48,Utilities
2021-12-26,54.17,Dining Out
2021-12-27,106.1,Utilities
2021-12-28,85.77,Healthcare
2021-12-29,192.7,Transport
2021-12-30,108.48,Transport
2021-12-31,24.52,Entertainment
2022-01-01,5.74,Dining Out
2022-01-02,145.93,Utilities
2022-01-03,94.0,Entertainment
2022-01-04,176.56,Groceries
2022-01-05,71.26,Entertainment
2022-01-06,196.2,Transport
2022-01-07,66.59,Groceries
2022-01-08,54.97,Utilities
2022-01-09,31.63,Healthcare
2022-01-10,33.15,Subscriptions
2022-01-11,87.04,Utilities
2022-01-12,172.18,Dining Out
2022-01-13,38.96,Utilities
2022-01-14,106.63,Entertainment
2022-01-15,37.04,Utilities
2022-01-16,32.08,Entertainment
2022-01-17,5.48,Groceries
2022-01-18,170.37,Utilities
2022-01-19,11.46,Groceries
2022-01-20,102.46,Transport
2022-01-21,133.65,Entertainment
2022-01-22,58.63,Utilities
2022-01-23,45.8,Entertainment
2022-01-24,24.09,Subscriptions
2022-01-25,189.85,Groceries
2022-01-26,183.14,Transport
2022-01-27,142.95,Dining Out
2022-01-28,132.64,Transport
2022-01-29,13.62,Entertainment
2022-01-30,86.17,Utilities
2022-01-31,170.38,Subscriptions
2022-02-01,113.98,Utilities
2022-02-02,156.47,Subscriptions
2022-02-03,121.01,Dining Out
2022-02-04,113.48,Healthcare
2022-02-05,68.46,Entertainment
2022-02-06,83.6,Entertainment
2022-02-07,197.35,Utilities
2022-02-08,71.71,Subscriptions
2022-02-09,118.37,Healthcare
2022-02-10,150.25,Entertainment
2022-02-11,129.17,Dining Out
2022-02-12,97.69,Entertainment
2022-02-13,10.7,Transport
2022-02-14,80.34,Dining Out
2022-02-15,164.01,Utilities
2022-02-16,110.95,Groceries
2022-02-17,170.21,Groceries
2022-02-18,54.02,Dining Out
2022-02-19,60.12,Healthcare
2022-02-20,35.76,Subscriptions
2022-02-21,91.88,Dining Out
2022-02-22,78.51,Dining Out
2022-02-23,26.95,Dining Out
2022-02-24,33.29,Transport
2022-02-25,143.8,Subscriptions
2022-02-26,184.28,Groceries
2022-02-27,134.8,Groceries
2022-02-28,138.99,Dining Out
2022-03-01,184.41,Subscriptions
2022-03-02,58.73,Healthcare
2022-03-03,152.0,Entertainment
2022-03-04,49.43,Groceries
2022-03-05,15.33,Utilities
2022-03-06,67.63,Healthcare
2022-03-07,148.58,Utilities
2022-03-08,75.51,Utilities
2022-03-09,138.82,Groceries
2022-03-10,44.99,Transport
2022-03-11,53.83,Dining Out
2022-03-12,17.13,Utilities
2022-03-13,129.7,Entertainment
2022-03-14,41.46,Dining Out
2022-03-15,24.02,Utilities
2022-03-16,64.63,Transport
2022-03-17,43.3,Utilities
2022-03-18,66.01,Subscriptions
2022-03-19,10.72,Utilities
2022-03-20,82.47,Transport
2022-03-21,120.49,Dining Out
2022-03-22,112.75,Transport
2022-03-23,178.92,Subscriptions
2022-03-24,152.06,Utilities
2022-03-25,46.89,Entertainment
2022-03-26,108.68,Subscriptions
2022-03-27,36.05,Utilities
2022-03-28,21.99,Groceries
2022-03-29,76.92,Dining Out
2022-03-30,87.59,Dining Out
2022-03-31,131.04,Subscriptions
2022-04-01,50.18,Subscriptions
2022-04-02,135.17,Transport
2022-04-03,94.7,Utilities
2022-04-04,110.69,Transport
2022-04-05,7.0,Subscriptions
2022-04-06,178.55,Transport
2022-04-07,136.36,Healthcare
2022-04-08,179.43,Transport
2022-04-09,40.36,Utilities
2022-04-10,31.72,Utilities
2022-04-11,36.5,Entertainment
2022-04-12,66.72,Dining Out
2022-04-13,193.39,Healthcare
2022-04-14,87.58,Healthcare
2022-04-15,66.55,Entertainment
2022-04-16,24.38,Dining Out
2022-04-17,146.51,Transport
2022-04-18,60.06,Utilities
2022-04-19,84.23,Groceries
2022-04-20,126.87,Utilities
2022-04-21,25.08,Utilities
2022-04-22,78.88,Subscriptions
2022-04-23,33.36,Groceries
2022-04-24,88.56,Subscriptions
2022-04-25,185.31,Subscriptions
2022-04-26,182.31,Dining Out
2022-04-27,181.29,Transport
2022-04-28,151.41,Healthcare
2022-04-29,38.32,Entertainment
2022-04-30,191.01,Subscriptions
2022-05-01,36.03,Subscriptions
2022-05-02,159.81,Dining Out
2022-05-03,53.24,Healthcare
2022-05-04,73.27,Entertainment
2022-05-05,129.84,Healthcare
2022-05-06,138.2,Utilities
2022-05-07,170.79,Subscriptions
2022-05-08,7.96,Subscriptions
2022-05-09,89.35,Utilities
2022-05-10,119.03,Healthcare
2022-05-11,50.17,Utilities
2022-05-12,70.48,Healthcare
2022-05-13,152.11,Healthcare
2022-05-14,34.02,Entertainment
2022-05-15,21.9,Dining Out
2022-05-16,195.47,Entertainment
2022-05-17,34.64,Transport
2022-05-18,10.9,Subscriptions
2022-05-19,160.91,Dining Out
2022-05-20,97.09,Transport
2022-05-21,196.84,Subscriptions
2022-05-22,69.32,Healthcare
2022-05-23,146.44,Dining Out
2022-05-24,74.07,Entertainment
2022-05-25,75.86,Dining Out
2022-05-26,182.57,Transport
2022-05-27,162.67,Entertainment
2022-05-28,179.7,Transport
2022-05-29,79.05,Entertainment
2022-05-30,154.24,Healthcare
2022-05-31,9.66,Entertainment
2022-06-01,155.49,Subscriptions
2022-06-02,161.94,Utilities
2022-06-03,196.35,Subscriptions
2022-06-04,157.9,Groceries
2022-06-05,53.7,Entertainment
2022-06-06,124.27,Groceries
2022-06-07,115.89,Entertainment
2022-06-08,197.48,Utilities
2022-06-09,33.78,Subscriptions
2022-06-10,146.25,Entertainment
2022-06-11,22.92,Transport
2022-06-12,54.48,Healthcare
2022-06-13,7.91,Entertainment
2022-06-14,188.46,Transport
2022-06-15,12.22,Groceries
2022-06-16,137.42,Entertainment
2022-06-17,111.71,Subscriptions
2022-06-18,89.1,Utilities
2022-06-19,18.81,Entertainment
2022-06-20,55.26,Utilities
2022-06-21,12.06,Subscriptions
2022-06-22,170.25,Groceries
2022-06-23,167.16,Entertainment
2022-06-24,73.29,Groceries
2022-06-25,48.32,Groceries
2022-06-26,44.77,Entertainment
2022-06-27,156.68,Groceries
2022-06-28,107.82,Utilities
2022-06-29,108.01,Transport
2022-06-30,37.01,Transport
2022-07-01,87.67,Transport
2022-07-02,169.95,Subscriptions
2022-07-03,76.64,Groceries
2022-07-04,101.85,Groceries
2022-07-05,158.58,Subscriptions
2022-07-06,64.61,Groceries
2022-07-07,88.97,Dining Out
2022-07-08,171.01,Entertainment
2022-07-09,128.46,Dining Out
2022-07-10,28.61,Healthcare
2022-07-11,53.87,Entertainment
2022-07-12,35.62,Dining Out
2022-07-13,101.52,Healthcare
2022-07-14,183.66,Dining Out
2022-07-15,52.82,Entertainment
2022-07-16,198.21,Utilities
2022-07-17,109.99,Utilities
2022-07-18,134.99,Groceries
2022-07-19,196.71,Utilities
2022-07-20,71.53,Entertainment
2022-07-21,134.14,Healthcare
2022-07-22,26.39,Dining Out
2022-07-23,64.9,Transport
2022-07-24,75.54,Subscriptions
2022-07-25,24.97,Groceries
2022-07-26,164.58,Entertainment
2022-07-27,84.89,Dining Out
2022-07-28,61.36,Utilities
2022-07-29,83.88,Healthcare
2022-07-30,129.87,Healthcare
2022-07-31,113.09,Healthcare
2022-08-01,57.81,Transport
2022-08-02,103.37,Subscriptions
2022-08-03,125.46,Groceries
2022-08-04,68.95,Groceries
2022-08-05,130.93,Subscriptions
2022-08-06,195.27,Subscriptions
2022-08-07,149.12,Transport
2022-08-08,128.57,Healthcare
2022-08-09,46.43,Groceries
2022-08-10,56.57,Entertainment
2022-08-11,54.21,Utilities
2022-08-12,68.21,Groceries
2022-08-13,119.78,Groceries
2022-08-14,139.49,Groceries
2022-08-15,175.66,Healthcare
2022-08-16,7.45,Groceries
2022-08-17,179.28,Entertainment
2022-08-18,148.16,Entertainment
2022-08-19,124.57,Transport
2022-08-20,180.73,Dining Out
2022-08-21,134.08,Utilities
2022-08-22,136.95,Entertainment
2022-08-23,10.73,Healthcare
2022-08-24,86.64,Transport
2022-08-25,116.6,Healthcare
2022-08-26,195.82,Healthcare
2022-08-27,58.86,Healthcare
2022-08-28,59.83,Groceries
2022-08-29,87.79,Healthcare
2022-08-30,70.92,Groceries
2022-08-31,143.87,Transport
2022-09-01,155.73,Transport
2022-09-02,7.03,Transport
2022-09-03,198.43,Utilities
2022-09-04,190.72,Healthcare
2022-09-05,85.72,Utilities
2022-09-06,97.72,Transport
2022-09-07,48.56,Healthcare
2022-09-08,141.06,Groceries
2022-09-09,101.3,Entertainment
2022-09-10,123.34,Subscriptions
2022-09-11,9.55,Entertainment
2022-09-12,178.69,Transport
2022-09-13,26.92,Transport
2022-09-14,193.64,Healthcare
2022-09-15,158.03,Dining Out
2022-09-16,179.33,Entertainment
2022-09-17,197.25,Dining Out
2022-09-18,130.85,Dining Out
2022-09-19,92.24,Healthcare
2022-09-20,74.87,Entertainment
2022-09-21,5.27,Transport
2022-09-22,146.32,Groceries
2022-09-23,196.77,Healthcare
2022-09-24,45.39,Entertainment
2022-09-25,189.27,Groceries
2022-09-26,8.78,Entertainment
2022-09-27,163.75,Utilities
2022-09-28,13.11,Subscriptions
2022-09-29,150.71,Healthcare
2022-09-30,167.6,Dining Out
2022-10-01,183.1,Subscriptions
2022-10-02,30.78,Groceries
2022-10-03,7.2,Subscriptions
2022-10-04,180.56,Groceries
2022-10-05,168.06,Groceries
2022-10-06,126.93,Utilities
2022-10-07,35.04,Entertainment
2022-10-08,153.09,Healthcare
2022-10-09,158.86,Transport
2022-10-10,191.26,Healthcare
2022-10-11,127.57,Healthcare
2022-10-12,20.66,Dining Out
2022-10-13,153.02,Utilities
2022-10-14,186.44,Transport
2022-10-15,166.9,Healthcare
2022-10-16,132.23,Dining Out
2022-10-17,85.93,Subscriptions
2022-10-18,30.75,Groceries
2022-10-19,70.26,Entertainment
2022-10-20,48.5,Entertainment
2022-10-21,131.56,Healthcare
2022-10-22,131.58,Groceries
2022-10-23,50.96,Entertainment
2022-10-24,184.13,Entertainment
2022-10-25,142.29,Utilities
2022-10-26,36.92,Subscriptions
2022-10-27,152.74,Subscriptions
2022-10-28,5.21,Groceries
2022-10-29,151.24,Entertainment
2022-10-30,115.32,Transport
2022-10-31,10.02,Healthcare
2022-11-01,119.2,Groceries
2022-11-02,90.3,Utilities
2022-11-03,123.59,Subscriptions
2022-11-04,40.42,Entertainment
2022-11-05,69.1,Utilities
2022-11-06,81.1,Groceries
2022-11-07,49.96,Subscriptions
2022-11-08,82.67,Groceries
2022-11-09,137.16,Dining Out
2022-11-10,168.6,Dining Out
2022-11-11,19.9,Dining Out
2022-11-12,122.8,Healthcare
2022-11-13,83.57,Subscriptions
2022-11-14,91.93,Entertainment
2022-11-15,38.75,Dining Out
2022-11-16,183.7,Dining Out
2022-11-17,175.5,Dining Out
2022-11-18,11.26,Subscriptions
2022-11-19,89.9,Healthcare
2022-11-20,155.81,Dining Out
2022-11-21,26.03,Entertainment
2022-11-22,21.09,Utilities
2022-11-23,61.14,Healthcare
2022-11-24,6.96,Subscriptions
2022-11-25,63.57,Subscriptions
2022-11-26,34.74,Groceries
2022-11-27,77.98,Subscriptions
2022-11-28,42.36,Groceries
2022-11-29,102.65,Subscriptions
2022-11-30,26.72,Healthcare
2022-12-01,194.95,Subscriptions
2022-12-02,64.86,Subscriptions
2022-12-03,78.15,Transport
2022-12-04,19.55,Groceries
2022-12-05,39.2,Utilities
2022-12-06,33.05,Transport
2022-12-07,128.66,Groceries
2022-12-08,58.38,Dining Out
2022-12-09,44.82,Healthcare
2022-12-10,106.25,Transport
2022-12-11,57.89,Entertainment
2022-12-12,81.82,Dining Out
2022-12-13,117.48,Healthcare
2022-12-14,44.8,Utilities
2022-12-15,161.24,Transport
2022-12-16,114.53,Entertainment
2022-12-17,57.7,Subscriptions
2022-12-18,67.2,Groceries
2022-12-19,144.89,Healthcare
2022-12-20,46.39,Transport
2022-12-21,94.54,Utilities
2022-12-22,168.18,Dining Out
2022-12-23,34.66,Entertainment
2022-12-24,92.14,Utilities
2022-12-25,58.96,Subscriptions
2022-12-26,126.68,Healthcare
2022-12-27,193.69,Transport
2022-12-28,135.62,Subscriptions
2022-12-29,158.02,Entertainment
2022-12-30,107.27,Transport
2022-12-31,14.75,Transport
2023-01-01,177.99,Utilities
2023-01-02,115.88,Utilities
2023-01-03,48.71,Dining Out
2023-01-04,177.82,Transport
2023-01-05,130.18,Entertainment
2023-01-06,59.11,Subscriptions
2023-01-07,88.11,Subscriptions
2023-01-08,13.43,Dining Out
2023-01-09,43.62,Entertainment
2023-01-10,165.28,Groceries
2023-01-11,94.17,Transport
2023-01-12,129.13,Healthcare
2023-01-13,41.98,Utilities
2023-01-14,141.32,Groceries
2023-01-15,180.7,Healthcare
2023-01-16,185.74,Utilities
2023-01-17,119.38,Entertainment
2023-01-18,113.4,Entertainment
2023-01-19,191.3,Healthcare
2023-01-20,55.54,Groceries
2023-01-21,54.26,Entertainment
2023-01-22,121.56,Transport
2023-01-23,173.47,Transport
2023-01-24,118.19,Healthcare
2023-01-25,179.73,Entertainment
2023-01-26,15.59,Healthcare
2023-01-27,181.35,Utilities
2023-01-28,76.88,Utilities
2023-01-29,136.96,Dining Out
2023-01-30,122.5,Dining Out
2023-01-31,19.24,Entertainment
2023-02-01,165.73,Transport
2023-02-02,65.85,Healthcare
2023-02-03,52.67,Utilities
2023-02-04,189.24,Utilities
2023-02-05,109.33,Groceries
2023-02-06,38.27,Subscriptions
2023-02-07,24.41,Subscriptions
2023-02-08,98.43,Transport
2023-02-09,150.68,Healthcare
2023-02-10,169.22,Transport
2023-02-11,97.17,Groceries
2023-02-12,12.11,Entertainment
2023-02-13,146.84,Subscriptions
2023-02-14,97.63,Subscriptions
2023-02-15,120.75,Subscriptions
2023-02-16,98.61,Subscriptions
2023-02-17,116.73,Entertainment
2023-02-18,138.66,Utilities
2023-02-19,127.4,Groceries
2023-02-20,43.09,Dining Out
2023-02-21,142.61,Utilities
2023-02-22,141.27,Entertainment
2023-02-23,114.24,Transport
2023-02-24,95.16,Transport
2023-02-25,73.55,Subscriptions
2023-02-26,33.8,Groceries
2023-02-27,59.88,Utilities
2023-02-28,65.14,Groceries
2023-03-01,12.46,Utilities
2023-03-02,33.72,Healthcare
2023-03-03,58.79,Dining Out
2023-03-04,151.85,Healthcare
2023-03-05,177.62,Utilities
2023-03-06,197.13,Groceries
2023-03-07,56.7,Entertainment
2023-03-08,183.03,Healthcare
2023-03-09,59.37,Transport
2023-03-10,184.54,Dining Out
2023-03-11,114.38,Groceries
2023-03-12,114.61,Transport
2023-03-13,52.82,Transport
2023-03-14,169.87,Utilities
2023-03-15,124.93,Entertainment
2023-03-16,159.86,Groceries
2023-03-17,127.27,Entertainment
2023-03-18,157.36,Healthcare
2023-03-19,143.24,Groceries
2023-03-20,78.53,Groceries
2023-03-21,93.58,Groceries
2023-03-22,145.42,Subscriptions
2023-03-23,196.89,Entertainment
2023-03-24,85.44,Healthcare
2023-03-25,58.68,Healthcare
2023-03-26,60.07,Entertainment
2023-03-27,27.03,Subscriptions
2023-03-28,83.52,Dining Out
2023-03-29,56.02,Entertainment
2023-03-30,92.54,Utilities
2023-03-31,109.79,Healthcare
2023-04-01,124.81,Transport
2023-04-02,58.66,Transport
2023-04-03,199.24,Utilities
2023-04-04,94.71,Groceries
2023-04-05,105.69,Subscriptions
2023-04-06,139.88,Utilities
2023-04-07,22.49,Transport
2023-04-08,190.63,Dining Out
2023-04-09,48.8,Transport
2023-04-10,44.18,Transport
2023-04-11,94.55,Entertainment
2023-04-12,185.58,Subscriptions
2023-04-13,26.22,Transport
2023-04-14,138.42,Entertainment
2023-04-15,134.02,Subscriptions
2023-04-16,147.26,Transport
2023-04-17,196.97,Groceries
2023-04-18,176.89,Dining Out
2023-04-19,41.38,Transport
2023-04-20,73.5,Utilities
2023-04-21,109.2,Entertainment
2023-04-22,5.84,Transport
2023-04-23,32.36,Transport
2023-04-24,174.97,Dining Out
2023-04-25,197.15,Entertainment
2023-04-26,32.86,Groceries
